"","X","link","title","response","domestic","domestic2","foreign","foreign2"
"399",399,"/movies/?id=drdolittle.htm","Doctor Dolittle","$294.5","$144.2","49.0%","$150.3","51.0%"
"400",400,"/movies/?id=shakespeareinlove.htm","Shakespeare in Love","$289.3","$100.3","34.7%","$189.0","65.3%"
"401",401,"/movies/?id=lethalweapon4.htm","Lethal Weapon 4","$285.4","$130.4","45.7%","$155.0","54.3%"
"402",402,"/movies/?id=trumanshow.htm","The Truman Show","$264.1","$125.6","47.6%","$138.5","52.4%"
"403",403,"/movies/?id=youvegotmail.htm","You've Got Mail","$250.8","$115.8","46.2%","$135.0","53.8%"
"404",404,"/movies/?id=enemyofthestate.htm","Enemy of the State","$250.6","$111.5","44.5%","$139.1","55.5%"
"405",405,"/movies/?id=maskofzorro.htm","The Mask of Zorro","$250.3","$94.1","37.6%","$156.2","62.4%"
"406",406,"/movies/?id=rushhour.htm","Rush Hour","$244.4","$141.2","57.8%","$103.2","42.2%"
"407",407,"/movies/?id=lifeisbeautiful.htm","Life Is Beautiful","$228.8","$57.2","25.0%","$171.6","75.0%"
"408",408,"/movies/?id=princeofegypt.htm","The Prince of Egypt","$218.6","$101.4","46.4%","$117.2","53.6%"
"409",409,"/movies/?id=patchadams.htm","Patch Adams","$202.3","$135.0","66.7%","$67.3","33.3%"
"410",410,"/movies/?id=cityofangels.htm","City of Angels","$198.7","$78.7","39.6%","$120.0","60.4%"
"411",411,"/movies/?id=x-filesfightthefuture.htm","The X-Files","$189.2","$83.9","44.3%","$105.3","55.7%"
"412",412,"/movies/?id=horsewhisperer.htm","The Horse Whisperer","$186.9","$75.4","40.3%","$111.5","59.7%"
"413",413,"/movies/?id=waterboy.htm","The Waterboy","$186.0","$161.5","86.8%","$24.5","13.2%"
"414",414,"/movies/?id=manintheironmask.htm","The Man in the Iron Mask","$183.0","$57.0","31.1%","$126.0","68.9%"
"415",415,"/movies/?id=antz.htm","Antz","$171.8","$90.8","52.8%","$81.0","47.2%"
"416",416,"/movies/?id=sixdayssevennights.htm","Six Days, Seven Nights","$164.8","$74.3","45.1%","$90.5","54.9%"
"417",417,"/movies/?id=stepmom.htm","Stepmom","$159.7","$91.1","57.1%","$68.6","42.9%"
"418",418,"/movies/?id=meetjoeblack.htm","Meet Joe Black","$142.9","$44.6","31.2%","$98.3","68.8%"
"419",419,"/movies/?id=rugratsmovie.htm","The Rugrats Movie","$140.9","$100.5","71.3%","$40.4","28.7%"
"420",420,"/movies/?id=lostinspace.htm","Lost in Space","$136.2","$69.1","50.8%","$67.0","49.2%"
"421",421,"/movies/?id=blade.htm","Blade","$131.2","$70.1","53.4%","$61.1","46.6%"
"422",422,"/movies/?id=perfectmurder.htm","A Perfect Murder","$128.0","$67.6","52.8%","$60.4","47.2%"
"423",423,"/movies/?id=everestimax.htm","Everest (IMAX)","$128.0","$87.2","68.1%","$40.8","31.9%"
"424",424,"/movies/?id=weddingsinger.htm","The Wedding Singer","$123.3","$80.2","65.1%","$43.1","34.9%"
"425",425,"/movies/?id=siege.htm","The Siege","$116.7","$41.0","35.1%","$75.7","64.9%"
"426",426,"/movies/?id=startrek9.htm","Star Trek: Insurrection","$112.6","$70.2","62.3%","$42.4","37.7%"
"427",427,"/movies/?id=treximax.htm","T-Rex: Back to the Cretaceous (IMAX)","$104.0","$53.4","51.3%","$50.6","48.7%"
"428",428,"/movies/?id=snakeeyes.htm","Snake Eyes","$103.9","$55.6","53.5%","$48.3","46.5%"
"429",429,"/movies/?id=usmarshals.htm","U.S. Marshals","$102.4","$57.2","55.8%","$45.2","44.2%"
"430",430,"/movies/?id=thinredline.htm","The Thin Red Line","$98.1","$36.4","37.1%","$61.7","62.9%"
"431",431,"/movies/?id=everafter.htm","Ever After: A Cinderella Story","$98.0","$65.7","67.0%","$32.3","33.0%"
"432",432,"/movies/?id=mercuryrising.htm","Mercury Rising","$93.1","$32.9","35.4%","$60.2","64.6%"
"433",433,"/movies/?id=parenttrap98.htm","The Parent Trap","$92.1","$66.3","72.0%","$25.8","28.0%"
"434",434,"/movies/?id=elizabeth<a0>.htm","Elizabeth","$82.2","$30.1","36.6%","$52.1","63.4%"
"435",435,"/movies/?id=hopefloats.htm","Hope Floats","$81.5","$60.1","73.7%","$21.4","26.3%"
"436",436,"/movies/?id=outofsight.htm","Out of Sight","$77.7","$37.6","48.3%","$40.2","51.7%"
"437",437,"/movies/?id=urbanlegend.htm","Urban Legend","$72.5","$38.1","52.5%","$34.5","47.5%"
"438",438,"/movies/?id=babepiginthecity.htm","Babe: Pig in the City","$69.1","$18.3","26.5%","$50.8","73.5%"
"439",439,"/movies/?id=greatexpectations.htm","Great Expectations","$55.5","$26.4","47.6%","$29.1","52.4%"
"440",440,"/movies/?id=wakingneddevine.htm","Waking Ned Devine","$55.3","$24.8","44.9%","$30.5","55.1%"
"441",441,"/movies/?id=primarycolors.htm","Primary Colors","$52.1","$39.0","74.9%","$13.1","25.1%"
"442",442,"/movies/?id=brideofchucky.htm","Bride of Chucky","$50.7","$32.4","63.9%","$18.3","36.1%"
"443",443,"/movies/?id=pleasantville.htm","Pleasantville","$49.8","$40.6","81.5%","$9.2","18.5%"
"444",444,"/movies/?id=objectofmyaffection.htm","The Object of My Affection","$46.9","$29.2","62.2%","$17.7","37.8%"
"445",445,"/movies/?id=egyptimax.htm","Mysteries of Egypt (IMAX)","$44.7","$40.6","90.8%","$4.1","9.2%"
"446",446,"/movies/?id=howstellagothergrooveback.htm","How Stella Got Her Groove Back","$39.3","$37.7","95.9%","$1.6","4.1%"
"447",447,"/movies/?id=psycho98.htm","Psycho (1998)","$37.1","$21.5","57.8%","$15.7","42.2%"
"448",448,"/movies/?id=bulworth.htm","Bulworth","$29.2","$26.5","90.8%","$2.7","9.2%"
"449",449,"/movies/?id=darkcity.htm","Dark City","$27.2","$14.4","52.9%","$12.8","47.1%"
"450",450,"/movies/?id=onetruething.htm","One True Thing","$26.6","$23.2","87.3%","$3.4","12.7%"
"451",451,"/movies/?id=americanhistoryx.htm","American History X","$23.9","$6.7","28.1%","$17.2","71.9%"
"452",452,"/movies/?id=playersclub.htm","The Players Club","$23.3","$23.0","99.1%","$214k","0.9%"
"453",453,"/movies/?id=borrowers.htm","The Borrowers","$22.6","$22.6","100.0%","n/a","0.0%"
"454",454,"/movies/?id=mrniceguy.htm","Mr. Nice Guy","$18.8","$12.7","67.6%","$6.1","32.4%"
